New Run at  07/13/2017 20:06:14
, Time, RandomReward; Master_UniformLCBReward; 
data,1249077600000,37;4099;155
data,1249077600000,37;2435;155
data,1249077600000,37;8533;155
data,1249077600000,37;2778;156
data,1249077600000,37;2112;156
data,1249077600000,37;6066;156
data,1249077600000,37;10171;156
data,1251756000000,37;5356;156
data,1264978800000,37;7835;156
data,1199142000000,37;10185;157
data,1199142000000,38;8304;158
data,1199142000000,38;7715;158
data,1199142000000,38;2505;159
data,1199142000000,38;4525;160
data,1199142000000,38;4610;160
data,1199142000000,38;2523;161
data,1199142000000,38;10218;161
data,1199142000000,38;1887;162
data,1199142000000,38;3500;162
data,1201820400000,38;10227;163
data,1228086000000,38;5068;163
data,1228086000000,38;3794;163
data,1228086000000,38;7310;164
data,1228086000000,38;5672;165
data,1228086000000,38;8550;165
data,1228086000000,38;10261;165
data,1228086000000,38;2869;165
data,1228086000000,38;10268;165
data,1228086000000,38;10227;166
data,1228086000000,38;935;166
data,1243807200000,38;4178;167
data,1243807200000,38;7814;167
data,1257030000000,38;8450;167
data,1257030000000,38;1717;168
data,1257030000000,38;2505;169
data,1257030000000,38;7704;169
data,1257030000000,38;3022;170
data,1267398000000,38;3022;171
data,1272664800000,38;9228;171
data,1275343200000,38;10185;172
data,1275343200000,38;10185;173
data,1214863200000,38;218;173
data,1214863200000,38;8556;173
data,1214863200000,38;5324;173
data,1217541600000,38;4522;173
data,1217541600000,38;102;173
data,1217541600000,38;6184;173
data,1217541600000,38;9820;173
data,1217541600000,38;4674;173
data,1217541600000,38;6712;173
data,1217541600000,38;10360;173
data,1217541600000,38;7093;173
data,1217541600000,38;6020;173
data,1220220000000,38;6842;173
data,1220220000000,38;8614;173
data,1220220000000,38;2111;173
data,1222812000000,38;8969;173
data,1228086000000,38;4985;173
data,1230764400000,38;9973;173
data,1230764400000,38;1549;174
data,1230764400000,38;776;174
data,1235862000000,38;1653;174
data,1235862000000,38;4427;174
data,1246399200000,38;111;174
data,1246399200000,38;10428;174
data,1233442800000,38;10175;174
data,1233442800000,38;2435;175
data,1233442800000,38;6024;175
data,1233442800000,38;3451;176
data,1233442800000,38;915;176
data,1233442800000,38;5129;176
data,1233442800000,38;3423;176
data,1233442800000,38;9510;176
data,1233442800000,38;9881;176
data,1233442800000,38;10460;177
data,1233442800000,38;4258;177
data,1233442800000,38;7950;177
data,1233442800000,38;10472;177
data,1262300400000,38;5442;177
data,1277935200000,38;2247;177
data,1280613600000,38;9761;177
data,1293836400000,38;10227;177
data,1209592800000,38;844;178
data,1212271200000,38;7715;178
data,1212271200000,38;7242;178
data,1212271200000,38;2462;178
data,1212271200000,38;5400;178
data,1214863200000,38;1901;178
data,1222812000000,38;9411;178
data,1222812000000,38;9223;178
data,1222812000000,38;5614;178
data,1222812000000,38;2699;178
data,1222812000000,38;5324;178
data,1222812000000,38;2034;179
data,1225494000000,38;10547;179
data,1225494000000,38;10548;180
data,1225494000000,38;1322;180
data,1225494000000,38;1416;180
data,1283292000000,38;1747;180
data,1283292000000,38;1525;181
data,1283292000000,38;8117;181
data,1283292000000,38;10565;181
data,1283292000000,38;9476;182
data,1291158000000,38;1274;183
