New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1283292000000,18;4668;78.0,37;11
data,1285884000000,18;2539;78.0,37;11
data,1285884000000,18;7870;78.0,37;11
data,1285884000000,19;2922;79.0,37;11
data,1285884000000,19;7885;80.0,37;11
data,1285884000000,19;925;81.0,37;11
data,1285884000000,19;3423;82.0,37;11
data,1285884000000,19;7911;83.0,37;11
data,1285884000000,19;7925;83.0,37;11
data,1285884000000,19;2763;83.0,37;11
data,1285884000000,19;3687;83.0,37;11
data,1285884000000,19;4808;83.0,37;11
data,1285884000000,19;187;84.0,37;11
data,1285884000000,19;1882;84.0,37;11
data,1285884000000,19;684;84.0,37;11
data,1285884000000,19;488;84.0,37;11
data,1285884000000,19;1549;85.0,37;11
data,1288566000000,19;1838;85.0,37;11
data,1288566000000,19;8005;86.0,37;11
data,1288566000000,19;8014;86.0,37;11
data,1288566000000,19;3134;86.0,37;11
data,1288566000000,19;8033;86.0,37;11
data,1288566000000,19;8047;86.0,37;11
data,1288566000000,19;3856;86.0,37;11
data,1288566000000,19;4131;87.0,37;11
data,1291158000000,19;939;87.0,37;11
data,1291158000000,19;3769;87.0,37;11
data,1291158000000,19;2435;88.0,37;11
data,1291158000000,19;8099;88.0,37;11
data,1291158000000,19;5205;88.0,37;11
data,1291158000000,19;8117;88.0,37;11
data,1291158000000,19;4360;88.0,37;11
data,1291158000000,19;8134;88.0,37;11
data,1291158000000,19;3872;88.0,37;11
data,1291158000000,19;5903;88.0,37;11
data,1291158000000,19;4596;89.0,37;11
data,1291158000000,19;8171;90.0,37;11
data,1291158000000,19;4182;91.0,37;11
data,1291158000000,19;8195;91.0,37;11
data,1291158000000,19;1391;91.0,37;11
data,1291158000000,19;5210;91.0,37;11
data,1291158000000,20;8218;92.0,37;11
data,1291158000000,20;4719;92.0,37;11
data,1291158000000,20;3853;93.0,37;11
data,1291158000000,20;5264;93.0,37;11
data,1291158000000,20;8263;94.0,37;11
data,1293836400000,21;8276;94.0,37;11
data,1293836400000,21;8291;94.0,37;11
data,1293836400000,21;5292;94.0,37;11
data,1293836400000,22;8304;95.0,37;11
data,1293836400000,22;8263;96.0,37;11
data,1293836400000,22;8320;96.0,37;11
data,1293836400000,22;8329;96.0,37;11
data,1293836400000,22;1350;96.0,37;11
data,1293836400000,22;8339;97.0,37;11
